AK-47 | Crane Flight,The Dead Hand Collection,0,1,Classified
AK-47 | Searing Rage,The Fever Collection,0,1,Classified
AK-47 | The Oligarch,The Genesis Collection,0,1,Covert
AK-47 | The Outsiders,The Gallery Collection,0,0.9,Classified
AK-47 | Inheritance,The Kilowatt Collection,0,0.797346,Covert
AK-47 | Hydroponic,The Rising Sun Collection,0,0.8,Classified
AK-47 | Cartel,The Chroma Collection,0,0.75,Classified
AK-47 | Case Hardened,The Arms Deal Collection,0,1,Classified
AK-47 | Phantom Disruptor,The Prisma 2 Collection,0,0.65,Classified
AK-47 | Neon Revolution,The Gamma 2 Collection,0,0.8,Covert
AK-47 | Legion of Anubis,The Fracture Collection,0,0.7,Covert
AK-47 | Asiimov,The Danger Zone Collection,0.05,0.7,Covert
AK-47 | Uncharted,The Prisma Collection,0,0.75,Mil-Spec Grade
AK-47 | Redline,The Phoenix Collection,0.1,0.7,Classified
AK-47 | Ice Coaled,The Recoil Collection,0,0.77,Classified
AK-47 | Aquamarine Revenge,The Falchion Collection,0,1,Covert
AK-47 | Elite Build,The Chroma 2 Collection,0,1,Mil-Spec Grade
AK-47 | Nightwish,The Dreams & Nightmares Collection,0,1,Covert
AK-47 | Point Disarray,The Revolver Case Collection,0,0.67,Classified
AK-47 | Vulcan,The Huntsman Collection,0,0.9,Covert
AK-47 | Frontside Misty,The Shadow Collection,0.02,0.87,Classified
AK-47 | Head Shot,The Revolution Collection,0,1,Covert
AK-47 | Wild Lotus,The St. Marc Collection,0,1,Covert
AK-47 | Panthera onca,The Ancient Collection,0,1,Classified
AK-47 | Neon Rider,The Horizon Collection,0,0.8,Covert
AK-47 | X-Ray,The Havoc Collection,0,1,Covert
AK-47 | Fire Serpent,The Bravo Collection,0.06,0.76,Covert
AK-47 | Crossfade,The Graphic Design Collection,0,0.5,Mil-Spec Grade
AK-47 | First Class,The Baggage Collection,0,1,Restricted
AK-47 | B the Monster,The Overpass 2024 Collection,0,0.8,Covert
AK-47 | Jaguar,The eSports 2014 Summer Collection,0,1,Covert
AK-47 | Emerald Pinstripe,The Bank Collection,0,1,Restricted
AK-47 | Wasteland Rebel,The Vanguard Collection,0.05,0.7,Covert
AK-47 | Jet Set,The Baggage Collection,0,1,Classified
AK-47 | Leet Museo,The Operation Riptide Collection,0,0.65,Covert
AK-47 | Bloodsport,The Spectrum Collection,0,0.45,Covert
AK-47 | The Empress,The Spectrum 2 Collection,0,1,Covert
AK-47 | Gold Arabesque,The 2021 Dust 2 Collection,0,0.7,Covert
AK-47 | Rat Rod,The Shattered Web Collection,0,1,Restricted
AK-47 | Slate,The Snakebite Collection,0,1,Restricted
AK-47 | Steel Delta,The Anubis Collection,0,0.73,Mil-Spec Grade
AK-47 | Fuel Injector,The Wildfire Collection,0,1,Covert
AK-47 | Orbit Mk01,The Operation Hydra Collection,0,0.55,Restricted
AK-47 | Aphrodite,Limited Edition Item,0,1,Covert
AK-47 | Olive Polycam,The Sport & Field Collection,0,0.5,Industrial Grade
AK-47 | Blue Laminate,The eSports 2013 Winter Collection,0.02,0.4,Restricted
AK-47 | Black Laminate,The Vertigo Collection,0.06,0.8,Mil-Spec Grade
AK-47 | Green Laminate,The 2021 Vertigo Collection,0.02,0.4,Mil-Spec Grade
AK-47 | Red Laminate,The eSports 2013 Collection,0.06,0.8,Classified
AK-47 | Safety Net,The 2018 Inferno Collection,0,0.6,Restricted
AK-47 | Baroque Purple,The Canals Collection,0,1,Industrial Grade
AK-47 | Nouveau Rouge,The Radiant Collection,0,1,Classified
AK-47 | Breakthrough,The Achroma Collection,0,0.75,Restricted
AK-47 | Midnight Laminate,The Ascent Collection,0,0.75,Restricted
AK-47 | Wintergreen,The Boreal Collection,0,0.75,Mil-Spec Grade
AK-47 | VariCamo Grey,The Boreal Collection,0,0.671875,Industrial Grade
AK-47 | Safari Mesh,The Dust 2 Collection,0.06,0.8,Industrial Grade
AK-47 | Jungle Spray,The Aztec Collection,0.06,0.8,Industrial Grade
AK-47 | Predator,The Dust Collection,0.06,0.8,Industrial Grade
AUG | Amber Fade,The 2021 Train Collection,0,0.4,Mil-Spec Grade
AUG | Death by Puppy,The CS20 Collection,0,0.4,Classified
AUG | Ricochet,The Revolver Case Collection,0,0.8,Mil-Spec Grade
AUG | Midnight Lily,The St. Marc Collection,0,0.5,Restricted
AUG | Random Access,The 2018 Nuke Collection,0,0.5,Restricted
AUG | Surveillance,The Control Collection,0,0.6,Consumer Grade
AUG | Carved Jade,The Ancient Collection,0,0.2,Mil-Spec Grade
AUG | Flame Jörmungandr,The Norse Collection,0,0.5,Restricted
AUG | Anodized Navy,The Alpha Collection,0,0.08,Mil-Spec Grade
AUG | Hot Rod,The Assault Collection,0,0.08,Mil-Spec Grade
AUG | Steel Sentinel,The Train 2025 Collection,0,1,Industrial Grade
AUG | Luxe Trim,The Gallery Collection,0,0.9,Mil-Spec Grade
